match,team1,book1,team1_odd,team2,book2,team2_odd,profit_%
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,Matchbook,3.5,26.38
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,GTbets,3.38,25.37
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,BetOnline.ag,3.36,25.19
Crystal Palace vs Nottingham Forest,Crystal Palace,Betsson,2.22,Nottingham Forest,Betclic,3.33,24.92
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,Pinnacle,3.39,23.99
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,1xBet,3.44,24.42
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,Winamax (FR),3.3,23.19
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,Winamax (DE),3.35,23.64
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,MyBookie.ag,3.28,23.0
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,Tipico,3.3,23.19
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,Betfair,3.5,24.92
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,Marathon Bet,3.38,23.9
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,Unibet,3.45,24.5
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,Nordic Bet,3.25,22.72
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,Betsson,3.35,23.64
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,William Hill,3.3,23.19
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,Everygame,3.35,23.64
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,Coolbet,3.57,25.48
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,Parions Sport (FR),3.3,23.19
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,Matchbook,3.5,24.92
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,GTbets,3.38,23.9
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,BetOnline.ag,3.36,23.73
Crystal Palace vs Nottingham Forest,Crystal Palace,888sport,2.15,Nottingham Forest,Betclic,3.33,23.46
Crystal Palace vs Nottingham Forest,Crystal Palace,William Hill,2.15,Nottingham Forest,Pinnacle,3.39,23.99
Crystal Palace vs Nottingham Forest,Crystal Palace,William Hill,2.15,Nottingham Forest,1xBet,3.44,24.42
